article_number,article_title,article_text,book,title,chapter,section,annotations
386,Actele încheiate în frauda celuilalt soț,"(1) Actele menționate la art. 346 alin. (2), precum și actele din care se nasc obligații în sarcina comunității, încheiate de unul dintre soți după data introducerii cererii de divorț sunt anulabile, dacă au fost făcute în frauda celuilalt soț.
(2) Dispozițiile art. 345 alin. (4) rămân aplicabile.",Cartea a II-a Despre familie*),Titlul II Căsătoria,Capitolul VII Desfacerea căsătoriei,Secţiunea a 2-a Efectele divorțului,
387,Opozabilitatea față de terți,"(1) Hotărârea judecătorească prin care s-a pronunțat divorțul și, după caz, certificatul de divorț prevăzut la art. 375 sunt opozabile față de terți, în condițiile legii.
(2) Dispozițiile art. 291, 334 și 335 sunt aplicabile în mod corespunzător, inclusiv în cazul prevăzut la art. 375.
II. Dreptul la despăgubiri",Cartea a II-a Despre familie*),Titlul II Căsătoria,Capitolul VII Desfacerea căsătoriei,Secţiunea a 2-a Efectele divorțului,
388,Acordarea despăgubirilor,"Distinct de dreptul la prestația compensatorie prevăzut la art. 390, soțul nevinovat, care suferă un prejudiciu prin desfacerea căsătoriei, poate cere soțului vinovat să îl despăgubească. Instanța de tutelă soluționează cererea prin hotărârea de divorț.
III. Obligația de întreținere între foștii soți",Cartea a II-a Despre familie*),Titlul II Căsătoria,Capitolul VII Desfacerea căsătoriei,Secţiunea a 2-a Efectele divorțului,
389,Obligația de întreținere,"(1) Prin desfacerea căsătoriei, obligația de întreținere între soți încetează.
(2) Soțul divorțat are dreptul la întreținere, dacă se află în nevoie din pricina unei incapacități de muncă survenite înainte de căsătorie ori în timpul căsătoriei. El are drept la întreținere și atunci când incapacitatea se ivește în decurs de un an de la desfacerea căsătoriei, însă numai dacă incapacitatea este cauzată de o împrejurare în legătură cu căsătoria.
(3) Întreținerea datorată potrivit dispozițiilor alin. (2) se stabilește până la o pătrime din venitul net al celui obligat la plata ei, în raport cu mijloacele sale și cu starea de nevoie a creditorului. Această întreținere, împreună cu întreținerea datorată copiilor, nu va putea depăși jumătate din venitul net al celui obligat la plată.
(4) Când divorțul este pronunțat din culpa exclusivă a unuia dintre soți, acesta nu beneficiază de prevederile alin. (2) și (3) decât timp de un an de la desfacerea căsătoriei.
(5) În afara altor cazuri prevăzute de lege, obligația de întreținere încetează prin recăsătorirea celui îndreptățit.
IV. Prestația compensatorie",Cartea a II-a Despre familie*),Titlul II Căsătoria,Capitolul VII Desfacerea căsătoriei,Secţiunea a 2-a Efectele divorțului,
390,Condițiile prestației compensatorii,"(1) În cazul în care divorțul se pronunță din culpa exclusivă a soțului pârât, soțul reclamant poate beneficia de o prestație care să compenseze, atât cât este posibil, un dezechilibru semnificativ pe care divorțul l-ar determina în condițiile de viață ale celui care o solicită.
(2) Prestația compensatorie se poate acorda numai în cazul în care căsătoria a durat cel puțin 20 de ani.
(3) Soțul care solicită prestația compensatorie nu poate cere de la fostul său soț și pensie de întreținere, în condițiile art. 389.",Cartea a II-a Despre familie*),Titlul II Căsătoria,Capitolul VII Desfacerea căsătoriei,Secţiunea a 2-a Efectele divorțului,
391,Stabilirea prestației compensatorii,"(1) Prestația compensatorie nu se poate solicita decât odată cu desfacerea căsătoriei.
(2) La stabilirea prestației compensatorii se ține seama atât de resursele soțului care o solicită, cât și de mijloacele celuilalt soț din momentul divorțului, de efectele pe care le are sau le va avea lichidarea regimului matrimonial, precum și de orice alte împrejurări previzibile de natură să le modifice, cum ar fi vârsta și starea de sănătate a soților, contribuția la creșterea copiilor minori pe care a avut-o și urmează să o aibă fiecare soț, pregătirea profesională, posibilitatea de a desfășura o activitate producătoare de venituri și altele asemenea.",Cartea a II-a Despre familie*),Titlul II Căsătoria,Capitolul VII Desfacerea căsătoriei,Secţiunea a 2-a Efectele divorțului,
392,Forma prestației compensatorii,"(1) Prestația compensatorie poate fi stabilită în bani, sub forma unei sume globale sau a unei rente viagere, ori în natură, sub forma uzufructului asupra unor bunuri mobile sau imobile care aparțin debitorului.
(2) Renta poate fi stabilită într-o cotă procentuală din venitul debitorului sau într-o sumă de bani determinată.
(3) Renta și uzufructul se pot constitui pe toată durata vieții celui care solicită prestația compensatorie sau pentru o perioadă mai scurtă, care se stabilește prin hotărârea de divorț.",Cartea a II-a Despre familie*),Titlul II Căsătoria,Capitolul VII Desfacerea căsătoriei,Secţiunea a 2-a Efectele divorțului,
393,Garanții,"Instanța, la cererea soțului creditor, îl poate obliga pe soțul debitor să constituie o garanție reală sau să dea cauțiune pentru a asigura executarea rentei.",Cartea a II-a Despre familie*),Titlul II Căsătoria,Capitolul VII Desfacerea căsătoriei,Secţiunea a 2-a Efectele divorțului,
394,Modificarea prestației compensatorii,"(1) Instanța poate mări sau micșora prestația compensatorie, dacă se modifică, în mod semnificativ, mijloacele debitorului și resursele creditorului.
(2) În cazul în care prestația compensatorie constă într-o sumă de bani, aceasta se indexează de drept, trimestrial, în funcție de rata inflației.",Cartea a II-a Despre familie*),Titlul II Căsătoria,Capitolul VII Desfacerea căsătoriei,Secţiunea a 2-a Efectele divorțului,
395,Încetarea prestației compensatorii,"Prestația compensatorie încetează prin decesul unuia dintre soți, prin recăsătorirea soțului creditor, precum și atunci când acesta obține resurse de natură să îi asigure condiții de viață asemănătoare celor din timpul căsătoriei.",Cartea a II-a Despre familie*),Titlul II Căsătoria,Capitolul VII Desfacerea căsătoriei,Secţiunea a 2-a Efectele divorțului,
396,Raporturile dintre părinții divorțați și copiii lor minori,"(1) Instanța de tutelă hotărăște, odată cu pronunțarea divorțului, asupra raporturilor dintre părinții divorțați și copiii lor minori, ținând seama de interesul superior al copiilor, de concluziile raportului de anchetă psihosocială, precum și, dacă este cazul, de învoiala părinților, pe care îi ascultă.
(2) Dispozițiile art. 264 sunt aplicabile.",Cartea a II-a Despre familie*),Titlul II Căsătoria,Capitolul VII Desfacerea căsătoriei,Secţiunea a 2-a Efectele divorțului,
397,Exercitarea autorității părintești de către ambii părinți,"După divorț, autoritatea părintească revine în comun ambilor părinți, afară de cazul în care instanța decide altfel.",Cartea a II-a Despre familie*),Titlul II Căsătoria,Capitolul VII Desfacerea căsătoriei,Secţiunea a 2-a Efectele divorțului,
398,Exercitarea autorității părintești de către un singur părinte,"(1) Dacă există motive întemeiate, având în vedere interesul superior al copilului, instanța hotărăște ca autoritatea părintească să fie exercitată numai de către unul dintre părinți.
(2) Celălalt părinte păstrează dreptul de a veghea asupra modului de creștere și educare a copilului, precum și dreptul de a consimți la adopția acestuia.",Cartea a II-a Despre familie*),Titlul II Căsătoria,Capitolul VII Desfacerea căsătoriei,Secţiunea a 2-a Efectele divorțului,
399,Exercitarea autorității părintești de către alte persoane,"(1) În mod excepțional, instanța de tutelă poate hotărî plasamentul copilului la o rudă sau la o altă familie ori persoană, cu consimțământul acestora, sau într-o instituție de ocrotire. Acestea exercită drepturile și îndatoririle care revin părinților cu privire la persoana copilului.
(2) Instanța stabilește dacă drepturile cu privire la bunurile copilului se exercită de către părinți în comun sau de către unul dintre ei.",Cartea a II-a Despre familie*),Titlul II Căsătoria,Capitolul VII Desfacerea căsătoriei,Secţiunea a 2-a Efectele divorțului,
400,Locuința copilului după divorț,"(1) În lipsa înțelegerii dintre părinți sau dacă aceasta este contrară interesului superior al copilului, instanța de tutelă stabilește, odată cu pronunțarea divorțului, locuința copilului minor la părintele cu care locuiește în mod statornic.
(2) Dacă până la divorț copilul a locuit cu ambii părinți, instanța îi stabilește locuința la unul dintre ei, ținând seama de interesul său superior.
(3) În mod excepțional, și numai dacă este în interesul superior al copilului, instanța poate stabili locuința acestuia la bunici sau la alte rude ori persoane, cu consimțământul acestora, ori la o instituție de ocrotire. Acestea exercită supravegherea copilului și îndeplinesc toate actele obișnuite privind sănătatea, educația și învățătura sa.",Cartea a II-a Despre familie*),Titlul II Căsătoria,Capitolul VII Desfacerea căsătoriei,Secţiunea a 2-a Efectele divorțului,
401,Drepturile părintelui separat de copil,"(1) În cazurile prevăzute la art. 400, părintele sau, după caz, părinții separați de copilul lor au dreptul de a avea legături personale cu acesta.
(2) În caz de neînțelegere între părinți, instanța de tutelă decide cu privire la modalitățile de exercitare a acestui drept. Ascultarea copilului este obligatorie, art. 264 fiind aplicabil.",Cartea a II-a Despre familie*),Titlul II Căsătoria,Capitolul VII Desfacerea căsătoriei,Secţiunea a 2-a Efectele divorțului,
402,Stabilirea contribuției părinților,"(1) Instanța de tutelă, prin hotărârea de divorț, stabilește contribuția fiecărui părinte la cheltuielile de creștere, educare, învățătură și pregătire profesională a copiilor.
(2) Dispozițiile titlului V privind obligația de întreținere se aplică în mod corespunzător.",Cartea a II-a Despre familie*),Titlul II Căsătoria,Capitolul VII Desfacerea căsătoriei,Secţiunea a 2-a Efectele divorțului,
403,Modificarea măsurilor luate cu privire la copil,"În cazul schimbării împrejurărilor, instanța de tutelă poate modifica măsurile cu privire la drepturile și îndatoririle părinților divorțați față de copiii lor minori, la cererea oricăruia dintre părinți sau a unui alt membru de familie, a copilului, a instituției de ocrotire, a instituției publice specializate pentru protecția copilului sau a procurorului.",Cartea a II-a Despre familie*),Titlul II Căsătoria,Capitolul VII Desfacerea căsătoriei,Secţiunea a 2-a Efectele divorțului,
404,Raporturile dintre părinți și copiii lor minori în alte cazuri,"În cazul prevăzut la art. 293 alin. (2), instanța hotărăște asupra raporturilor dintre părinți și copiii lor minori, dispozițiile art. 396-403 fiind aplicabile în mod corespunzător.",Cartea a II-a Despre familie*),Titlul II Căsătoria,Capitolul VII Desfacerea căsătoriei,Secţiunea a 2-a Efectele divorțului,
405,Noțiune,"(1) Rudenia firească este legătura bazată pe descendența unei persoane dintr-o altă persoană sau pe faptul că mai multe persoane au un ascendent comun.
(2) Rudenia civilă este legătura rezultată din adopția încheiată în condițiile prevăzute de lege.",Cartea a II-a Despre familie*),Titlul III Rudenia,Capitolul I Dispoziții generale,Secţiunea a 2-a Efectele divorțului,
406,Rudenia în linie dreaptă sau colaterală,"(1) Rudenia este în linie dreaptă în cazul descendenței unei persoane dintr-o altă persoană și poate fi ascendentă sau descendentă.
(2) Rudenia este în linie colaterală atunci când rezultă din faptul că mai multe persoane au un ascendent comun.
(3) Gradul de rudenie se stabilește astfel:
a) în linie dreaptă, după numărul nașterilor: astfel, copiii și părinții sunt rude de gradul întâi, nepoții și bunicii sunt rude de gradul al doilea;
b) în linie colaterală, după numărul nașterilor, urcând de la una dintre rude până la ascendentul comun și coborând de la acesta până la cealaltă rudă; astfel, frații sunt rude de gradul al doilea, unchiul sau mătușa și nepotul, de gradul al treilea, verii primari, de gradul al patrulea.",Cartea a II-a Despre familie*),Titlul III Rudenia,Capitolul I Dispoziții generale,Secţiunea a 2-a Efectele divorțului,
407,Afinitatea,"(1) Afinitatea este legătura dintre un soț și rudele celuilalt soț.
(2) Rudele soțului sunt, în aceeași linie și același grad, afinii celuilalt soț.",Cartea a II-a Despre familie*),Titlul III Rudenia,Capitolul I Dispoziții generale,Secţiunea a 2-a Efectele divorțului,
408,Modurile de stabilire a filiației,"(1) Filiația față de mamă rezultă din faptul nașterii; ea se poate stabili și prin recunoaștere sau prin hotărâre judecătorească.
(2) Filiația față de tatăl din căsătorie se stabilește prin efectul prezumției de paternitate.
(3) Filiația față de tatăl din afara căsătoriei se stabilește prin recunoaștere sau prin hotărâre judecătorească, după caz.",Cartea a II-a Despre familie*),Titlul III Rudenia,Capitolul II Filiația,Secţiunea 1 Stabilirea filiației,
409,Dovada filiației,"(1) Filiația se dovedește prin actul de naștere întocmit în registrul de stare civilă, precum și cu certificatul de naștere eliberat pe baza acestuia.
(2) În cazul copilului din căsătorie, dovada se face prin actul de naștere și prin actul de căsătorie al părinților, trecute în registrele de stare civilă, precum și prin certificatele de stare civilă corespunzătoare.",Cartea a II-a Despre familie*),Titlul III Rudenia,Capitolul II Filiația,Secţiunea 1 Stabilirea filiației,
410,Posesia de stat,"(1) Posesia de stat este starea de fapt care indică legăturile de filiație și rudenie dintre copil și familia din care se pretinde că face parte. Ea constă, în principal, în oricare dintre următoarele împrejurări:
a) o persoană se comportă față de un copil ca fiind al său, îngrijindu-se de creșterea și educarea sa, iar copilul se comportă față de această persoană ca fiind părintele său;
b) copilul este recunoscut de către familie, în societate și, când este cazul, de către autoritățile publice, ca fiind al persoanei despre care se pretinde că este părintele său;
c) copilul poartă numele persoanei despre care se pretinde că este părintele său.
(2) Posesia de stat trebuie să fie continuă, pașnică, publică și neechivocă.",Cartea a II-a Despre familie*),Titlul III Rudenia,Capitolul II Filiația,Secţiunea 1 Stabilirea filiației,
411,Posesia de stat conformă cu actul de naștere,"(1) Nicio persoană nu poate reclama o altă filiație față de mamă decât aceea ce rezultă din actul său de naștere și posesia de stat conformă cu acesta.
(2) Nimeni nu poate contesta filiația față de mamă a persoanei care are o posesie de stat conformă cu actul său de naștere.
(3) Cu toate acestea, dacă printr-o hotărâre judecătorească s-a stabilit că a avut loc o substituire de copil ori că a fost înregistrată ca mamă a unui copil o altă femeie decât aceea care l-a născut, se poate face dovada adevăratei filiații cu orice mijloc de probă.",Cartea a II-a Despre familie*),Titlul III Rudenia,Capitolul II Filiația,Secţiunea 1 Stabilirea filiației,
412,Timpul legal al concepțiunii,"(1) Intervalul de timp cuprins între a trei suta și a o sută optzecea zi dinaintea nașterii copilului este timpul legal al concepțiunii. El se calculează zi cu zi.
(2) Prin mijloace de probă științifice se poate face dovada concepțiunii copilului într-o anumită perioadă din intervalul de timp prevăzut la alin. (1) sau chiar în afara acestui interval.",Cartea a II-a Despre familie*),Titlul III Rudenia,Capitolul II Filiația,Secţiunea 1 Stabilirea filiației,
413,Domeniul de aplicare,Dispozițiile prezentului capitol referitoare la copil sunt aplicabile și persoanei majore a cărei filiație este cercetată.,Cartea a II-a Despre familie*),Titlul III Rudenia,Capitolul II Filiația,Secţiunea 1 Stabilirea filiației,
414,Prezumția de paternitate,"(1) Copilul născut sau conceput în timpul căsătoriei are ca tată pe soțul mamei.
(2) Paternitatea poate fi tăgăduită, dacă este cu neputință ca soțul mamei să fie tatăl copilului.",Cartea a II-a Despre familie*),Titlul III Rudenia,Capitolul II Filiația,Secţiunea 1 Stabilirea filiației,
415,Felurile recunoașterii,"(1) Dacă nașterea nu a fost înregistrată în registrul de stare civilă sau copilul a fost trecut în registrul de stare civilă ca născut din părinți necunoscuți, mama îl poate recunoaște pe copil.
(2) Copilul conceput și născut în afara căsătoriei poate fi recunoscut de către tatăl său.
(3) După moartea copilului, acesta poate fi recunoscut numai dacă a lăsat descendenți firești.",Cartea a II-a Despre familie*),Titlul III Rudenia,Capitolul II Filiația,Secţiunea 1 Stabilirea filiației,
416,Formele recunoașterii,"(1) Recunoașterea poate fi făcută prin declarație la serviciul public comunitar local de evidență a persoanelor, prin înscris autentic sau prin testament.
(la 20-04-2012, Alin. (1) al art. 416 a fost modificat de art. IX din LEGEA nr. 60 din 10 aprilie 2012, publicată în MONITORUL OFICIAL nr. 255 din 17 aprilie 2012, prin înlocuirea sintagmei ""serviciul de stare civilă"" cu sintagma ""serviciul public comunitar local de evidență a persoanelor"". )
(2) Dacă recunoașterea este făcută prin înscris autentic, o copie a acestuia este trimisă din oficiu serviciului public comunitar local de evidență a persoanelor competent, pentru a se face mențiunea corespunzătoare în registrele de stare civilă.
(la 20-04-2012, Alin. (2) al art. 416 a fost modificat de art. IX din LEGEA nr. 60 din 10 aprilie 2012, publicată în MONITORUL OFICIAL nr. 255 din 17 aprilie 2012, prin înlocuirea sintagmei ""serviciul de stare civilă"" cu sintagma ""serviciul public comunitar local de evidență a persoanelor"". )
(3) Recunoașterea, chiar dacă a fost făcută prin testament, este irevocabilă.",Cartea a II-a Despre familie*),Titlul III Rudenia,Capitolul II Filiația,Secţiunea 1 Stabilirea filiației,
417,Recunoașterea de către minorul necăsătorit,"Minorul necăsătorit îl poate recunoaște singur pe copilul său, dacă are discernământ la momentul recunoașterii.",Cartea a II-a Despre familie*),Titlul III Rudenia,Capitolul II Filiația,Secţiunea 1 Stabilirea filiației,
418,Nulitatea absolută a recunoașterii,"Recunoașterea este lovită de nulitate absolută dacă:
a) a fost recunoscut un copil a cărui filiație, stabilită potrivit legii, nu a fost înlăturată. Cu toate acestea, dacă filiația anterioară a fost înlăturată prin hotărâre judecătorească, recunoașterea este valabilă;
b) a fost făcută după decesul copilului, iar acesta nu a lăsat descendenți firești;
c) a fost făcută în alte forme decât cele prevăzute de lege.",Cartea a II-a Despre familie*),Titlul III Rudenia,Capitolul II Filiația,Secţiunea 1 Stabilirea filiației,
419,Nulitatea relativă a recunoașterii,"(1) Recunoașterea poate fi anulată pentru eroare, dol sau violență.
(2) Prescripția dreptului la acțiune începe să curgă de la data încetării violenței ori, după caz, a descoperirii erorii sau dolului.",Cartea a II-a Despre familie*),Titlul III Rudenia,Capitolul II Filiația,Secţiunea 1 Stabilirea filiației,
420,Contestarea recunoașterii de filiație,"(1) Recunoașterea care nu corespunde adevărului poate fi contestată oricând și de orice persoană interesată.
(2) Dacă recunoașterea este contestată de celălalt părinte, de copilul recunoscut sau de descendenții acestuia, dovada filiației este în sarcina autorului recunoașterii sau a moștenitorilor săi.
I. Contestarea filiației",Cartea a II-a Despre familie*),Titlul III Rudenia,Capitolul II Filiația,Secţiunea 1 Stabilirea filiației,
421,Acțiunea în contestația filiației,"(1) Orice persoană interesată poate contesta oricând, prin acțiune în justiție, filiația stabilită printr-un act de naștere ce nu este conform cu posesia de stat.
(2) În acest caz, filiația se dovedește prin certificatul medical constatator al nașterii, prin expertiza medico-legală de stabilire a filiației sau, în lipsa certificatului ori în cazul imposibilității efectuării expertizei, prin orice mijloc de probă, inclusiv prin posesia de stat.
(3) Cu toate acestea, dovada filiației nu se face prin martori decât în cazul prevăzut la art. 411 alin. (3) sau atunci când există înscrisuri care fac demnă de crezare acțiunea formulată.
II. Acțiunea în stabilirea filiației față de mamă",Cartea a II-a Despre familie*),Titlul III Rudenia,Capitolul II Filiația,Secţiunea 1 Stabilirea filiației,
422,Acțiunea în stabilirea maternității,"În cazul în care, din orice motiv, dovada filiației față de mamă nu se poate face prin certificatul constatator al nașterii ori în cazul în care se contestă realitatea celor cuprinse în certificatul constatator al nașterii, filiația față de mamă se poate stabili printr-o acțiune în stabilirea maternității, în cadrul căreia pot fi administrate orice mijloace de probă.",Cartea a II-a Despre familie*),Titlul III Rudenia,Capitolul II Filiația,Secţiunea 1 Stabilirea filiației,
423,Regimul juridic al acțiunii în stabilirea maternității,"(1) Dreptul la acțiunea în stabilirea filiației față de mamă aparține copilului și se pornește, în numele acestuia, de către reprezentantul său legal.
(2) Acțiunea poate să fie pornită sau, după caz, continuată și de moștenitorii copilului, în condițiile legii.
(3) Acțiunea poate fi introdusă și împotriva moștenitorilor pretinsei mame.
(4) Dreptul la acțiune este imprescriptibil.
(5) Dacă însă copilul a decedat înainte de a introduce acțiunea, moștenitorii săi pot să o introducă în termen de un an de la data decesului.
III. Acțiunea în stabilirea paternității din afara căsătoriei",Cartea a II-a Despre familie*),Titlul III Rudenia,Capitolul II Filiația,Secţiunea 1 Stabilirea filiației,
424,Stabilirea paternității prin hotărâre judecătorească,"Dacă tatăl din afara căsătoriei nu îl recunoaște pe copil, paternitatea acestuia se poate stabili prin hotărâre judecătorească.",Cartea a II-a Despre familie*),Titlul III Rudenia,Capitolul II Filiația,Secţiunea 1 Stabilirea filiației,
425,Acțiunea în stabilirea paternității,"(1) Acțiunea în stabilirea paternității din afara căsătoriei aparține copilului și se pornește în numele lui de către mamă, chiar dacă este minoră, sau de către reprezentantul lui legal.
(2) Ea poate fi pornită sau, după caz, continuată și de moștenitorii copilului, în condițiile legii.
(3) Acțiunea în stabilirea paternității poate fi pornită și împotriva moștenitorilor pretinsului tată.",Cartea a II-a Despre familie*),Titlul III Rudenia,Capitolul II Filiația,Secţiunea 1 Stabilirea filiației,
426,Prezumția filiației față de pretinsul tată,"(1) Paternitatea se prezumă dacă se dovedește că pretinsul tată a conviețuit cu mama copilului în perioada timpului legal al concepțiunii.
(2) Prezumția este înlăturată dacă pretinsul tată dovedește că este exclus ca el să îl fi conceput pe copil.",Cartea a II-a Despre familie*),Titlul III Rudenia,Capitolul II Filiația,Secţiunea 1 Stabilirea filiației,
427,Termenul de prescripție,"(1) Dreptul la acțiunea în stabilirea paternității nu se prescrie în timpul vieții copilului.
(2) Dispozițiile art. 423 alin. (5) se aplică în mod corespunzător.",Cartea a II-a Despre familie*),Titlul III Rudenia,Capitolul II Filiația,Secţiunea 1 Stabilirea filiației,
428,Despăgubiri,"(1) Mama copilului poate cere pretinsului tată să îi plătească jumătate din:
a) cheltuielile nașterii și ale lehuziei;
b) cheltuielile făcute cu întreținerea ei în timpul sarcinii și în perioada de lehuzie.
(2) Mama poate solicita aceste despăgubiri chiar și atunci când copilul s-a născut mort sau a murit înainte de pronunțarea hotărârii privind stabilirea paternității.
(3) Dreptul la acțiune al mamei se prescrie în termen de 3 ani de la nașterea copilului.
(4) Mama nu poate cere aceste despăgubiri dacă nu a formulat și acțiune pentru stabilirea paternității.
(5) În afara cheltuielilor prevăzute la alin. (1), mama și moștenitorii ei au dreptul la despăgubiri pentru orice alte prejudicii, potrivit dreptului comun.
IV. Acțiuni privind filiația față de tatăl din căsătorie",Cartea a II-a Despre familie*),Titlul III Rudenia,Capitolul II Filiația,Secţiunea 1 Stabilirea filiației,
429,Acțiunea în tăgada paternității,"(1) Acțiunea în tăgada paternității poate fi pornită de soțul mamei, de mamă, de tatăl biologic, precum și de copil. Ea poate fi pornită sau, după caz, continuată și de moștenitorii acestora, în condițiile legii.
(2) Acțiunea se introduce de către soțul mamei împotriva copilului; când acesta este decedat, acțiunea se pornește împotriva mamei sale și, dacă este cazul, a altor moștenitori ai săi.
(3) Dacă soțul beneficiază de tutelă specială acțiunea poate fi pornită de tutore, iar în lipsă, de un curator numit de instanța judecătorească.
(la 18-08-2022, Alineatul (3) din Articolul 429 , Punctul IV. , Subsectiunea 4. , Sectiunea 1 , Capitolul II , Titlul III , Cartea a II-a a fost modificat de Punctul 52, Articolul 7, Capitolul II din LEGEA nr. 140 din 17 mai 2022, publicată în MONITORUL OFICIAL nr. 500 din 20 mai 2022 )
(4) Mama sau copilul poate introduce acțiunea împotriva soțului. Dacă acesta este decedat, acțiunea se pornește împotriva moștenitorilor lui.
(5) Tatăl biologic poate introduce acțiunea împotriva soțului mamei și a copilului. Dacă aceștia sunt decedați, acțiunea se pornește împotriva moștenitorilor.",Cartea a II-a Despre familie*),Titlul III Rudenia,Capitolul II Filiația,Secţiunea 1 Stabilirea filiației,
430,Tăgada paternității de către soțul mamei,"(1) Soțul mamei poate introduce acțiunea în tăgada paternității în termen de 3 ani, care curge fie de la data la care soțul a cunoscut că este prezumat tată al copilului, fie de la o dată ulterioară, când a aflat că prezumția nu corespunde realității.
(2) Termenul nu curge împotriva soțului care beneficiază de consiliere judiciară ori tutelă specială și, chiar dacă acțiunea nu a fost pornită de tutore, ea poate fi introdusă de soț în termen de 3 ani de la data încetării măsurii de ocrotire.
(la 18-08-2022, Alineatul (2) din Articolul 430 , Punctul IV. , Subsectiunea 4. , Sectiunea 1 , Capitolul II , Titlul III , Cartea a II-a a fost modificat de Punctul 53, Articolul 7, Capitolul II din LEGEA nr. 140 din 17 mai 2022, publicată în MONITORUL OFICIAL nr. 500 din 20 mai 2022 )
(3) Dacă soțul a murit înainte de împlinirea termenul menționat la alin. (1), fără a porni acțiunea, aceasta poate fi pornită de către moștenitori în termen de un an de la data decesului.",Cartea a II-a Despre familie*),Titlul III Rudenia,Capitolul II Filiația,Secţiunea 1 Stabilirea filiației,
431,Tăgada paternității de către mamă,"(1) Acțiunea în tăgada paternității poate fi pornită de către mamă în termen de 3 ani de la data nașterii copilului.
(2) Dispozițiile art. 429 alin. (3) și art. 430 alin. (2) și (3) se aplică în mod corespunzător.",Cartea a II-a Despre familie*),Titlul III Rudenia,Capitolul II Filiația,Secţiunea 1 Stabilirea filiației,
432,Tăgada paternității de către pretinsul tată biologic,"(1) Acțiunea în tăgada paternității introdusă de către cel care se pretinde tată biologic poate fi admisă numai dacă acesta face dovada paternității sale față de copil.
(2) Dreptul la acțiune nu se prescrie în timpul vieții tatălui biologic. Dacă acesta a decedat, acțiunea poate fi formulată de moștenitorii săi în termen de cel mult un an de la data decesului.
(3) Dispozițiile art. 429 alin. (3) se aplică în mod corespunzător.",Cartea a II-a Despre familie*),Titlul III Rudenia,Capitolul II Filiația,Secţiunea 1 Stabilirea filiației,
433,Tăgada paternității de către copil și de către moștenitori,"(1) Acțiunea în tăgada paternității se pornește de copil, în timpul minorității sale, prin reprezentantul său legal.
(2) Dreptul la acțiune nu se prescrie în timpul vieții copilului.
(3) Dispozițiile art. 423 alin. (5) și art. 429 alin. (3) se aplică în mod corespunzător.",Cartea a II-a Despre familie*),Titlul III Rudenia,Capitolul II Filiația,Secţiunea 1 Stabilirea filiației,
434,Contestarea filiației față de tatăl din căsătorie,"Orice persoană interesată poate cere, oricând, instanței să constate că nu sunt întrunite condițiile pentru ca prezumția de paternitate să se aplice unui copil înregistrat în actele de stare civilă ca fiind născut din căsătorie.
V. Dispoziții comune privind acțiunile referitoare la filiație",Cartea a II-a Despre familie*),Titlul III Rudenia,Capitolul II Filiația,Secţiunea 1 Stabilirea filiației,
435,Filiația legal stabilită,"(1) Atât timp cât o legătură de filiație legal stabilită nu a fost contestată în justiție, nu se poate stabili, pe nicio cale, o altă filiație.
(2) Dispozițiile art. 99 alin. (4) rămân aplicabile.",Cartea a II-a Despre familie*),Titlul III Rudenia,Capitolul II Filiația,Secţiunea 1 Stabilirea filiației,
436,Citarea părinților și a copilului,"Părinții și copilul vor fi citați în toate cauzele referitoare la filiație, chiar și atunci când nu au calitatea de reclamant sau de pârât.",Cartea a II-a Despre familie*),Titlul III Rudenia,Capitolul II Filiația,Secţiunea 1 Stabilirea filiației,
437,Inadmisibilitatea renunțării,"(1) În acțiunile privitoare la filiație nu se poate renunța la drept.
(2) De asemenea, cel care introduce o acțiune privitoare la filiație în numele unui copil sau al unei persoane care beneficiază de tutela specială, precum și persoana care beneficiază de consiliere judiciară sau copilul minor care a introdus singur, potrivit legii, o astfel de acțiune nu pot renunța la judecarea ei.
(la 18-08-2022, Alineatul (2) din Articolul 437 , Punctul V. , Subsectiunea 4. , Sectiunea 1 , Capitolul II , Titlul III , Cartea a II-a a fost modificat de Punctul 54, Articolul 7, Capitolul II din LEGEA nr. 140 din 17 mai 2022, publicată în MONITORUL OFICIAL nr. 500 din 20 mai 2022 )",Cartea a II-a Despre familie*),Titlul III Rudenia,Capitolul II Filiația,Secţiunea 1 Stabilirea filiației,
438,Situația copilului,"(1) Prin hotărârea de admitere a acțiunii instanța se pronunță și cu privire la stabilirea numelui copilului, exercitarea autorității părintești și obligația părinților de a-l întreține pe copil.
(2) În cazul în care admite o acțiune în contestarea filiației, instanța poate stabili, dacă este cazul, modul în care copilul păstrează legături personale cu acela care l-a crescut.",Cartea a II-a Despre familie*),Titlul III Rudenia,Capitolul II Filiația,Secţiunea 1 Stabilirea filiației,
439,Acțiunea formulată în caz de moștenire vacantă,"În cazul în care, potrivit legii, o acțiune privitoare la filiație poate fi pornită împotriva moștenitorilor, iar moștenirea este vacantă, acțiunea poate fi introdusă împotriva comunei, orașului sau, după caz, municipiului de la locul deschiderii moștenirii. Citarea în proces a renunțătorilor, dacă există, este obligatorie.",Cartea a II-a Despre familie*),Titlul III Rudenia,Capitolul II Filiația,Secţiunea 1 Stabilirea filiației,
